;Kode.Dagri;Kode.BPS;Urutan JSON;name;Kode.Geo;Nama.Provinsi;Nama.Kabupaten.Kota;IRBI.2017;IRBI.2018;IRBI.2019;IRBI.2020;IRBI.2021;IRBI.2022;Y_2017;Y_2018;Y_2019;Y_2020;Y_2021;Y_2022;korel
244;3517;3517;124;JOMBANG;50400;Jawa Timur;Jombang;154,8;154,8;145,38;144,77;137;114,98;58,93;62,15;61,32;61,51;59,46;62,18;-0,32389769
245;3518;3518;125;NGANJUK;51400;Jawa Timur;Nganjuk;152,8;152,8;135,14;122,12;112,86;86,15;57,96;59,4;61,45;61,4;59,26;54,46;0,521193283
246;3519;3519;126;MADIUN;50800;Jawa Timur;Madiun;155,2;155,2;136,99;153,86;136,02;92,5;63,27;58,54;61,65;61,1;60,99;56,65;0,686386132
247;3520;3520;127;MAGETAN;51000;Jawa Timur;Magetan;152,8;152,8;141,53;160,47;137,39;80,78;65,11;63,53;61,72;66,01;63,37;61,92;0,666744406
248;3521;3521;128;NGAWI;50900;Jawa Timur;Ngawi;143,2;143,2;143,18;136,9;132,3;112,05;57,09;60,64;63,44;66,54;61,09;60,63;0,016842296
249;3522;3522;129;BOJONEGORO;50500;Jawa Timur;Bojonegoro;101,38;96,93;96,56;94,91;94,19;84,29;54,95;53,47;53,71;53,74;50,07;53,48;0,257015044
250;3523;3523;130;TUBAN;50600;Jawa Timur;Tuban;175,2;175,2;175,2;162,69;150,74;114,5;58,31;56,39;57,01;54,91;55,58;58,94;-0,381513483
251;3524;3524;131;LAMONGAN;50700;Jawa Timur;Lamongan;167,36;139,55;126,3;118,6;113,9;94,57;61,45;60,85;59,78;59,86;57,25;60,88;0,419538029
252;3525;3525;132;GRESIK;50100;Jawa Timur;Gresik;126,77;101,35;123,51;116,19;115,3;108,62;65,55;59,97;59,65;60,84;61,84;64,88;0,249422726
253;3526;3526;133;BANGKALAN;52900;Jawa Timur;Bangkalan;158,66;139,01;137,38;127,67;121;106,09;64,05;59,47;50,59;47,06;46,38;48,71;0,820695185
254;3527;3527;134;SAMPANG;52700;Jawa Timur;Sampang;154,8;154,8;151,51;141,03;130,59;98,38;51,75;50,01;47,27;50,73;51,27;49,47;0,035539482
255;3528;3528;135;PAMEKASAN;52600;Jawa Timur;Pamekasan;180,4;180,4;180,4;184,83;157,1;86,59;50,05;51,63;45,27;50,48;51,11;52,7;-0,514760645
73;1375;1375;136;KOTA BUKITTINGGI;86000;Sumatera Barat;Kota Bukittinggi;130;130;130;130;130;123,39;67,24;58,63;65,41;60,91;69,32;66,09;-0,180931776
74;1376;1376;137;KOTA PAYAKUMBUH;86500;Sumatera Barat;Kota Payakumbuh;104,8;104,8;104,8;104,8;104,8;104,8;54,63;47;45,57;49,16;50,02;54,99;NA
75;1377;1377;138;KOTA PARIAMAN;86600;Sumatera Barat;Kota Pariaman;171,2;171,2;171,2;171,2;171,2;124,79;58,93;49,5;56,45;49,05;47,11;51,93;0,024586554
210;3323;3323;139;TEMANGGUNG;32300;Jawa Tengah;Temanggung;143,2;143,2;143,2;134,51;121,33;84,85;0;64,2;63,25;61,79;58,73;57,09;-0,219555133
211;3324;3324;140;KENDAL;32400;Jawa Tengah;Kendal;142,49;124,57;111,2;98,97;100,4;92,1;0;54,12;58,82;54,25;55,27;54,24;-0,788474311
212;3325;3325;141;BATANG;32500;Jawa Tengah;Batang;168,4;168,4;168,4;168,4;161,93;137,12;0;48,17;50,15;49,4;49,97;50,91;-0,276645834
213;3326;3326;142;PEKALONGAN;32600;Jawa Tengah;Pekalongan;183,2;183,2;183,2;172,56;160,19;132,42;0;47,35;50,27;46,48;44,42;44,52;-0,257996232
214;3327;3327;143;PEMALANG;32700;Jawa Tengah;Pemalang;206;185,7;185,7;165,97;146,38;86,96;0;51,06;57,19;53,26;54,19;53,07;-0,485529136
215;3328;3328;144;TEGAL;32800;Jawa Tengah;Tegal;212,8;212,8;212,8;181,08;158,93;100,26;0;56,69;48,32;53,7;52,42;53,13;-0,365567881
216;3329;3329;145;BREBES;32900;Jawa Tengah;Brebes;211,2;211,2;211,2;189,94;189,94;126,83;0;53,03;54,31;60,91;54,58;56,1;-0,34408506
217;3371;3371;146;KOTA MAGELANG;36000;Jawa Tengah;Kota Magelang;108;108;108;108;108;108;0;51,99;59,09;57,79;51,52;54,29;NA
218;3372;3372;147;KOTA SURAKARTA;36100;Jawa Tengah;Kota Surakarta;80;80;80;67,96;67,96;32;0;69,19;64;62,05;54,55;57,78;-0,202576758
219;3373;3373;148;KOTA SALATIGA;36200;Jawa Tengah;Kota Salatiga;91,2;91,2;91,2;91,2;91,2;90,18;0;60,1;57,2;60,38;55,48;55,6;-0,154659446
220;3374;3374;149;KOTA SEMARANG;36300;Jawa Tengah;Kota Semarang;124,72;120,75;113,83;115,52;108,63;91,52;0;54,64;53,2;55,93;47,35;51,84;-0,457077296
221;3375;3375;150;KOTA PEKALONGAN;36400;Jawa Tengah;Kota Pekalongan;147,6;147,6;147,6;138,13;138,13;116,05;0;53,67;55,36;47,7;51,52;56,88;-0,375454146
